377,1.84,16784.24,13.89,13.6
378,1.85,16713.97,13.98,13.7
379,1.85,16644.06,14.07,13.7
380,1.86,16574.53,14.16,13.8
381,1.86,16505.35,14.25,13.9
382,1.87,16436.54,14.34,14.0
383,1.87,16368.09,14.43,14.1
384,1.88,16300,14.52,14.2
385,1.88,16232.26,14.61,14.3
386,1.88,16164.87,14.7,14.4
387,1.89,16097.83,14.79,14.5
388,1.89,16031.13,14.88,14.5
389,1.9,15964.78,14.97,14.6
390,1.9,15898.77,15.06,14.7
391,1.91,15833.09,15.15,14.8
392,1.91,15767.76,15.24,14.9
393,1.92,15702.75,15.32,15.0
394,1.92,15638.07,15.41,15.1
395,1.93,15573.72,15.5,15.2
396,1.93,15509.7,15.59,15.3
397,1.94,15445.99,15.68,15.3
398,1.94,15382.61,15.77,15.4
399,1.95,15319.55,15.86,15.5
400,1.95,15256.8,15.95,15.6
401,1.96,15194.36,16.04,15.7
402,1.96,15132.24,16.13,15.8
403,1.97,15070.42,16.21,15.9
404,1.97,15008.91,16.3,16.0
405,1.98,14947.7,16.39,16.1
406,1.98,14886.8,16.48,16.1
407,1.99,14826.19,16.57,16.2
408,1.99,14765.88,16.66,16.3
409,2,14705.87,16.75,16.4
410,2,14646.15,16.83,16.5
411,2.01,14586.72,16.92,16.6
412,2.01,14527.57,17.01,16.7
413,2.02,14468.72,17.1,16.8
414,2.02,14410.14,17.19,16.9
415,2.03,14351.86,17.28,16.9
416,2.03,14293.85,17.37,17.0
417,2.04,14236.12,17.45,17.1
418,2.04,14178.66,17.54,17.2
419,2.05,14121.48,17.63,17.3
420,2.05,14064.57,17.72,17.4
421,2.06,14007.93,17.81,17.5
422,2.06,13951.56,17.9,17.6
423,2.07,13895.46,17.98,17.6
424,2.07,13839.62,18.07,17.7
425,2.08,13784.05,18.16,17.8
426,2.08,13728.73,18.25,17.9
427,2.08,13673.68,18.34,18.0
428,2.09,13618.88,18.43,18.1
429,2.09,13564.34,18.51,18.2
430,2.1,13510.05,18.6,18.3
431,2.1,13456.01,18.69,18.3
432,2.11,13402.22,18.78,18.4
433,2.11,13348.68,18.87,18.5
434,2.12,13295.39,18.96,18.6
435,2.12,13242.34,19.04,18.7
436,2.13,13189.54,19.13,18.8
437,2.13,13136.98,19.22,18.9
438,2.14,13084.66,19.31,19.0
439,2.14,13032.57,19.4,19.1
440,2.15,12980.73,19.48,19.1
441,2.15,12929.12,19.57,19.2
442,2.16,12877.74,19.66,19.3
443,2.16,12826.59,19.75,19.4
444,2.17,12775.68,19.84,19.5
445,2.17,12724.99,19.93,19.6
446,2.18,12674.53,20.01,19.7
